ID,PRICE,LIVING_AREA,LOCATION,COORD
140257110,635000,120.0,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
140899352,1950000,313.89,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
140932206,350000,63.68,"Auerhahnstraße 58, Griesheim, Frankfurt am Main","(50.1011755, 8.5887139)"
140930696,350000,63.68,"Auerhahnstraße 60, Griesheim, Frankfurt am Main","(50.1011119, 8.5887041)"
136648647,1250000,180.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
138577622,1249000,380.0,"Oberrad, Frankfurt am Main","(50.1002823, 8.7242791)"
138543449,729000,301.0,"Sindlingen, Frankfurt am Main","(50.080234, 8.509426399999999)"
141101989,759000,153.0,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
140817690,700000,172.52,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140952128,710000,272.0,"Ludwig-Landmann-Straße X, Praunheim, Frankfurt am Main","(50.1411364, 8.6104076)"
140952057,4600000,890.0,"Wielandstraße X, Nordend-West, Frankfurt am Main","(50.1249153, 8.6894984)"
138462126,1520000,266.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140121720,2890000,300.0,"Dornbusch, Frankfurt am Main","(50.1479878, 8.6663255)"
138780259,1950000,193.47,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
139675549,725000,100.0,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
140139440,1500000,170.0,"Ostend, Frankfurt am Main","(50.1115462, 8.705952400000001)"
140103931,795000,142.0,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
141023126,600000,240.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140697992,899000,131.34,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
140426820,982000,239.0,"Seckbach, Frankfurt am Main","(50.1450463, 8.7236713)"
141116800,1490000,125.0,"Dornbusch, Frankfurt am Main","(50.1479878, 8.6663255)"
139744274,599000,110.0,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
139702572,8250000,795.0,"Sachsenhausen-Nord, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140901665,645000,131.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
140894514,995000,200.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
139986628,895000,151.46,"Rotdornweg 119, Frankfurter Berg, Frankfurt am Main","(50.1699119, 8.6708635)"
138756394,3650000,574.64,"Westend-Nord, Frankfurt am Main","(50.114932, 8.658699799999999)"
140046733,1300000,194.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
140763168,1999000,550.0,"Nied, Frankfurt am Main","(50.10631009999999, 8.576834999999999)"
139131240,3250000,384.79,"Sachsenhausen-Nord, Frankfurt am Main","(50.1011147, 8.685017799999999)"
134773638,750000,143.74,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
136502605,1100000,136.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139787425,798000,141.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
140681723,539000,126.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
140427529,475000,85.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140257465,689000,91.0,"Ginnheim, Frankfurt am Main","(50.1424791, 8.6475496)"
140802243,1149000,231.0,"Nieder-Erlenbach, Frankfurt am Main","(50.2031338, 8.7028716)"
135828141,699000,103.08,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
140839676,1980000,632.0,"Bornheim, Frankfurt am Main","(50.1309177, 8.7088466)"
135699369,350000,75.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
140821521,840000,217.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140045719,1247773,690.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
138046283,798000,170.0,"Baumertstraße 39, Fechenheim, Frankfurt am Main","(50.1230292, 8.7690026)"
140490776,3620000,288.0,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
140422455,699000,153.0,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
140926384,1140000,171.2,"Preungesheim, Frankfurt am Main","(50.1542684, 8.6976313)"
139480324,1380000,334.0,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
135885196,980000,100.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
141019010,4600000,1.2,"Seckbach, Frankfurt am Main","(50.1450463, 8.7236713)"
140223676,950000,180.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
138957872,895000,241.0,"Harheim, Frankfurt am Main","(50.1838383, 8.683584699999999)"
140287493,1078000,225.0,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
140417135,750000,100.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
140610952,615000,103.5,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
132000723,499000,110.0,"Geiselsteinweg 28, Preungesheim, Frankfurt am Main","(50.1466491, 8.6984067)"
140355197,895000,171.0,"Oberrad, Frankfurt am Main","(50.1002823, 8.7242791)"
136285499,1670000,233.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
137988465,545000,120.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140573679,998000,135.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
140805513,625000,142.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
133067624,770000,120.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
139634217,729000,243.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140547551,630000,141.0,"Zeilsheim, Frankfurt am Main","(50.0968467, 8.4946741)"
138935170,438000,120.0,"Nied, Frankfurt am Main","(50.10631009999999, 8.576834999999999)"
140439992,490000,126.3,"Sindlingen, Frankfurt am Main","(50.080234, 8.509426399999999)"
139358710,750000,123.0,"Nordend-Ost, Frankfurt am Main","(50.12707529999999, 8.6974679)"
138929395,900000,194.0,"Rödelheim, Frankfurt am Main","(50.127714, 8.607680499999999)"
140234089,720000,130.0,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
140324180,750000,110.44,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
139156354,1190000,223.0,"Preungesheim, Frankfurt am Main","(50.1542684, 8.6976313)"
140902003,2500000,618.0,"Hausen, Frankfurt am Main","(50.13494739999999, 8.6270024)"
140861153,1196000,291.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
140932032,3395000,768.61,"Nordend-Ost, Frankfurt am Main","(50.12707529999999, 8.6974679)"
139891109,2400000,610.0,"Burgstraße 76, Bornheim, Frankfurt am Main","(50.1254689, 8.700258)"
136997992,1095000,222.7,"Harheim, Frankfurt am Main","(50.1838383, 8.683584699999999)"
139268334,1100000,293.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
139166769,450000,91.0,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
139766290,485000,120.0,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
139634462,698000,129.7,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
136823066,610000,183.0,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
135036922,1475000,560.0,"Berkersheim, Frankfurt am Main","(50.169464, 8.7023583)"
140305253,1490000,246.05,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
139462975,798000,143.0,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
138132502,885000,228.0,"Nied, Frankfurt am Main","(50.10631009999999, 8.576834999999999)"
139535133,1595000,381.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
132019728,675000,245.0,"Bodenseestr. 5, Fechenheim, Frankfurt am Main","(50.1243998, 8.7674149)"
140739814,495500,314.0,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
139946617,615000,133.0,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
139761530,1200000,290.0,"Gallus, Frankfurt am Main","(50.1047735, 8.642458)"
138220106,475000,101.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
140509790,695000,138.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
138658129,629000,100.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
134426303,4000000,595.0,"Nordend-Ost, Frankfurt am Main","(50.12707529999999, 8.6974679)"
139496763,699000,162.0,"Rödelheim, Frankfurt am Main","(50.127714, 8.607680499999999)"
139919381,1350000,175.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
139219486,349000,223.74,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
138831732,790000,110.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
136402019,1850000,191.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
136402282,1750000,193.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139675712,1150000,250.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
137920254,1187000,299.5,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
136604711,1495000,385.88,"Höchst, Frankfurt am Main","(50.10248199999999, 8.547457099999999)"
140873436,890000,131.3,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
130889575,3495000,550.0,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
140854338,2599000,489.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140324171,630000,300.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
136124849,3000000,349.0,"Sachsenhausen-Nord, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140322622,1690000,390.0,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
139594229,625000,210.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
141113031,598500,109.24,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
140899821,410000,145.0,"Fontanestraße 19, Dornbusch, Frankfurt am Main","(50.1485723, 8.663898699999999)"
140429104,637000,135.0,"Nieder-Erlenbach, Frankfurt am Main","(50.2031338, 8.7028716)"
141109824,859000,277.0,"Nied, Frankfurt am Main","(50.10631009999999, 8.576834999999999)"
138080692,795000,116.26,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
138853797,799000,136.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
140309366,529000,130.0,"Nied, Frankfurt am Main","(50.10631009999999, 8.576834999999999)"
130567377,629000,174.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
137568285,895000,217.65,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140693057,599000,112.2,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
140125143,980000,123.0,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
137666971,1249000,315.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
140123902,1241000,184.0,"Preungesheim, Frankfurt am Main","(50.1542684, 8.6976313)"
137389592,760000,135.0,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
137301504,695000,197.0,"Zeilsheim, Frankfurt am Main","(50.0968467, 8.4946741)"
141095328,339000,60.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
136214108,399000,64.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
141093970,691000,175.0,"Bechtenwaldstraße X, Zeilsheim, Frankfurt am Main","(50.098548, 8.5019326)"
141093583,399000,100.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
139217945,1377500,152.45,"Kelsterbacherstr. 72, Niederrad, Frankfurt am Main","(50.0881084, 8.6402038)"
139576414,450000,80.85,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
137146491,499000,116.03,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
141092833,980000,212.0,"Seckbach, Frankfurt am Main","(50.1450463, 8.7236713)"
134300687,1100000,185.0,"Zeilsheim, Frankfurt am Main","(50.0968467, 8.4946741)"
139031767,1600000,200.0,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
138842881,695000,145.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
140113522,949000,195.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139400480,580000,135.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
138216825,3390000,352.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
130372733,3200000,749.0,"Gutleutviertel, Frankfurt am Main","(50.1016527, 8.6595725)"
130372798,3800000,765.0,"Rödelheim, Frankfurt am Main","(50.127714, 8.607680499999999)"
140458237,545000,180.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
140458185,545000,180.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
141084620,640000,107.0,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
141084574,1399000,430.0,"Nieder-Erlenbach, Frankfurt am Main","(50.2031338, 8.7028716)"
141083913,673000,95.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
141083768,490000,126.0,"Sindlingen, Frankfurt am Main","(50.080234, 8.509426399999999)"
140859897,688000,126.0,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
