ID,PRICE,LIVING_AREA,LOCATION,COORD
138036107,379000,125.06,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
138194624,945000,269.0,"Nieder-Erlenbach, Frankfurt am Main","(50.2031338, 8.7028716)"
115709527,1400000,150.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139367419,1498600,141.4,"Walter-Gropius-Straße 5, Kalbach-Riedberg, Frankfurt am Main","(50.1769857, 8.6195979)"
141075723,1098000,192.0,"Eschersheim, Frankfurt am Main","(50.1562178, 8.6574949)"
141073302,699900,146.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
131598953,499000,130.0,"Spohrstraße 41, Nordend-West, Frankfurt am Main","(50.1291749, 8.6903191)"
133139394,1350000,410.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
138828898,4400000,888.0,"Ostend, Frankfurt am Main","(50.1115462, 8.705952400000001)"
139756662,1290000,381.83,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
139931958,2450000,413.0,"Rödelheim, Frankfurt am Main","(50.127714, 8.607680499999999)"
140656236,998000,166.0,"Eschersheim, Frankfurt am Main","(50.1562178, 8.6574949)"
137122640,3520000,402.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
141068576,595000,224.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
140257840,487500,85.95,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
140845098,1095000,218.0,"Harheim, Frankfurt am Main","(50.1838383, 8.683584699999999)"
138173522,899000,146.72,"Taschnerstr 56, Bergen-Enkheim, Frankfurt am Main","(50.1463843, 8.7487806)"
137917085,895000,226.0,"Höchst, Frankfurt am Main","(50.10248199999999, 8.547457099999999)"
140957351,5750000,1.53,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
139924387,1250000,277.14,"Hartmannsweilerstr. 49, Griesheim, Frankfurt am Main","(50.0916995, 8.6082272)"
136190146,800000,210.0,"Zeilsheim, Frankfurt am Main","(50.0968467, 8.4946741)"
139921977,1998000,250.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
134577512,1098000,254.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
141056792,1365000,460.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140651273,549500,155.24,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
138004086,2680000,447.0,"Diesterwegstraße 16, Sachsenhausen-Nord, Frankfurt am Main","(50.1009402, 8.6825928)"
140650714,950000,167.0,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
136648237,1490000,296.15,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
134426470,745000,225.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
135062360,798500,230.0,"Bockenheim, Frankfurt am Main","(50.11911509999999, 8.6435868)"
139217781,795000,200.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
139727509,2800000,330.0,"Preungesheim, Frankfurt am Main","(50.1542684, 8.6976313)"
139368805,997930,372.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
138177542,569000,140.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
136290014,470000,82.0,"Zeilsheim, Frankfurt am Main","(50.0968467, 8.4946741)"
140831536,599000,170.1,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
139511340,1290000,120.54,"Dornbusch, Frankfurt am Main","(50.1479878, 8.6663255)"
138790911,879432,130.0,"Nieder-Erlenbach, Frankfurt am Main","(50.2031338, 8.7028716)"
139896571,520000,90.0,"Kullmannstr. 7, Preungesheim, Frankfurt am Main","(50.1453193, 8.6967018)"
141033490,775000,157.0,"Heddernheim, Frankfurt am Main","(50.1612625, 8.6424693)"
138441990,810000,250.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140623291,699000,163.84,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
137575989,1100000,515.0,"Ostend, Frankfurt am Main","(50.1115462, 8.705952400000001)"
137118681,1050000,233.0,"Eschersheim, Frankfurt am Main","(50.1562178, 8.6574949)"
136942291,590000,151.0,"Dornbusch, Frankfurt am Main","(50.1479878, 8.6663255)"
136796100,3790000,514.0,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
140797589,670000,106.0,"Höchst, Frankfurt am Main","(50.10248199999999, 8.547457099999999)"
139705987,749000,0.0,"Gallus, Frankfurt am Main","(50.1047735, 8.642458)"
136793730,399000,159.0,"Nied, Frankfurt am Main","(50.10631009999999, 8.576834999999999)"
138561393,785000,190.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
136957168,460000,165.0,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
140816218,1295000,175.0,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
139128440,450000,125.0,"An der Walkmühle 15, Nieder-Eschbach, Frankfurt am Main","(50.2004751, 8.671649900000002)"
140974018,1550000,395.0,"Nordend-Ost, Frankfurt am Main","(50.12707529999999, 8.6974679)"
140585444,5550000,1.171,"Niederursel, Frankfurt am Main","(50.16547620000001, 8.621266499999999)"
140621901,197000,0.0,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
131907715,840000,116.0,"Bockenheim, Frankfurt am Main","(50.11911509999999, 8.6435868)"
137879340,1200000,171.0,"Im Klingenfeld 75, Berkersheim, Frankfurt am Main","(50.16860399999999, 8.6882158)"
136604107,760000,140.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
138087654,649000,180.0,"Rödelheim, Frankfurt am Main","(50.127714, 8.607680499999999)"
140045743,891000,345.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
136773535,890000,145.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
138784557,715000,158.0,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
137532569,895000,230.0,"Johanna-Tesch-Platz 24, Riederwald, Frankfurt am Main","(50.1271863, 8.7284542)"
136280285,2980000,584.05,"Bornheim, Frankfurt am Main","(50.1309177, 8.7088466)"
140574712,450000,116.0,"Riedstr. 13a, Bergen-Enkheim, Frankfurt am Main","(50.1494699, 8.7547078)"
134659190,595000,84.0,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
137395878,1390000,145.0,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
138285065,677000,340.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
140951513,880000,168.0,"Louis-Pasteur-Straße X, Niederursel, Frankfurt am Main","(50.1679198, 8.6384113)"
140950377,403000,84.0,"Steinkleestraße X, Eckenheim, Frankfurt am Main","(50.1522912, 8.6828371)"
140949386,2400000,560.0,"Geleitstraße X, Sachsenhausen-Süd, Frankfurt am Main","(50.0989847, 8.6931062)"
139833052,1850000,300.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
134982628,1195500,178.18,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
138905551,3995000,616.0,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
139638470,1198000,152.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
140186535,4950000,380.0,"Westend-Süd, Frankfurt am Main","(50.1157078, 8.6591469)"
140939127,1890000,282.0,"Dornbusch, Frankfurt am Main","(50.1479878, 8.6663255)"
140535141,1200000,428.3,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
137206590,2950000,283.0,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
139631198,1000000,200.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
132822649,799000,153.26,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
136723455,1150000,240.0,"Zeilsheim, Frankfurt am Main","(50.0968467, 8.4946741)"
130154930,1199000,182.3,"Goldbergweg 71, Oberrad, Frankfurt am Main","(50.0959651, 8.716975099999999)"
138929823,1349000,138.55,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
140752994,1150000,180.0,"Seckbach, Frankfurt am Main","(50.1450463, 8.7236713)"
140919199,1300000,302.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
137198927,3500000,263.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
140153451,1150000,134.0,"Harheim, Frankfurt am Main","(50.1838383, 8.683584699999999)"
138297075,919000,246.0,"Bergen-Enkheim, Frankfurt am Main","(50.1567167, 8.7681275)"
140686995,403000,84.0,"Steinkleestraße 12, Eckenheim, Frankfurt am Main","(50.1507717, 8.683643199999999)"
138881207,980000,260.0,"Goldgrubenstrasse 25, Niederursel, Frankfurt am Main","(50.1649233, 8.6271512)"
140158161,555500,314.0,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
138879865,2600000,368.0,"Innenstadt, Frankfurt am Main","(50.11065929999999, 8.675272099999999)"
140902544,1400000,137.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
140334772,1300000,211.38,"Bornheim, Frankfurt am Main","(50.1309177, 8.7088466)"
139247116,850000,286.31,"Schwanheim, Frankfurt am Main","(50.085849, 8.5896714)"
139220400,795000,200.0,"Sossenheim, Frankfurt am Main","(50.12408110000001, 8.572095)"
139598052,349000,90.0,"Zeilsheim, Frankfurt am Main","(50.0968467, 8.4946741)"
139596990,698000,150.0,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
141095345,769000,330.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
141093178,585000,101.21,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
140992128,1089000,197.77,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
140898334,1375000,380.0,"Sindlingen, Frankfurt am Main","(50.080234, 8.509426399999999)"
140845493,899000,196.0,"Diezer Str. 5, Heddernheim, Frankfurt am Main","(50.1575147, 8.6477566)"
140771566,779000,119.26,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
140757571,1080000,224.0,"Griesheim, Frankfurt am Main","(50.0965406, 8.5987565)"
140734401,680000,128.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
140634501,4900000,700.0,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
140621042,1250000,128.0,"Hausen, Frankfurt am Main","(50.13494739999999, 8.6270024)"
140572289,1090000,145.0,"Eckenheim, Frankfurt am Main","(50.1501788, 8.6830901)"
140450479,359000,94.77,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
140358097,899000,196.0,"Diezer Str. 5, Heddernheim, Frankfurt am Main","(50.1575147, 8.6477566)"
140286047,4100000,406.2,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140259218,899000,112.0,"Sachsenhausen-Nord, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140180021,1100000,365.41,"Höchst, Frankfurt am Main","(50.10248199999999, 8.547457099999999)"
140178202,3950000,281.0,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
140081207,779000,113.0,"Akazienstraße 29, Griesheim, Frankfurt am Main","(50.0987987, 8.6010541)"
140000433,4400000,690.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
139927941,892500,256.0,"Seckbach, Frankfurt am Main","(50.1450463, 8.7236713)"
139848554,735000,120.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139810807,675000,135.0,"Kolbenbergstraße 5, Praunheim, Frankfurt am Main","(50.1486108, 8.6215645)"
139546529,1040000,230.0,"Boskoopstr. 36, Preungesheim, Frankfurt am Main","(50.15798059999999, 8.6972728)"
139457224,899000,196.0,"Diezer Str. 5, Heddernheim, Frankfurt am Main","(50.1575147, 8.6477566)"
139383765,779000,120.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139366938,790000,135.54,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
139202129,1500000,200.0,"Preungesheim, Frankfurt am Main","(50.1542684, 8.6976313)"
139190846,1200000,153.0,"Oberrad, Frankfurt am Main","(50.1002823, 8.7242791)"
139181444,890405,393.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
139096930,370000,65.0,"Ligusterweg 34, Frankfurter Berg, Frankfurt am Main","(50.1651873, 8.6722731)"
138918317,1790000,240.0,"Westend-Süd, Frankfurt am Main","(50.1157078, 8.6591469)"
138321222,3960000,114.0,"Altstadt, Frankfurt am Main","(50.1100897, 8.6822492)"
138304166,850000,145.0,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
138280573,1750000,280.47,"Nieder-Erlenbach, Frankfurt am Main","(50.2031338, 8.7028716)"
138188120,2650000,225.27,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
138111680,790000,135.0,"Klosterhofstr. 168, Zeilsheim, Frankfurt am Main","(50.090865, 8.500357300000001)"
137878324,1250000,292.11,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
137798545,799000,158.0,"Ginnheim, Frankfurt am Main","(50.1424791, 8.6475496)"
137679850,2700000,560.0,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
137581441,499000,90.57,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
137548601,3700000,114.0,"Altstadt, Frankfurt am Main","(50.1100897, 8.6822492)"
137429495,2300000,601.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
137060653,815000,140.0,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
137045136,3100000,398.0,"Höchst, Frankfurt am Main","(50.10248199999999, 8.547457099999999)"
137029429,2590000,424.0,"Dornbusch, Frankfurt am Main","(50.1479878, 8.6663255)"
136906357,595000,130.0,"Hausen, Frankfurt am Main","(50.13494739999999, 8.6270024)"
136363026,1185000,143.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
